,listing_id,id,date,reviewer_id,reviewer_name,comments
26302,54005280.0,6.07036e+17,4/17/2022,45216157.0,Yulia," wasn’t clean and also coffee cups from previeus guests were still in the holder Shower gets from very cold to very hot all the time, that was quite enoying"
26303,54005280.0,6.25889e+17,5/13/2022,243482323.0,Phoebe," Negatives were thin walls (heard some neighbours doing some x rated things at night), and there was a pungent smell from the sink in the bathroom The wifi cut out a few times when I was working meaning I lost the work I was doing, but the cafe's that were a 10 minute walk away had wifi I could use"
26304,54005280.0,6.72944e+17,7/17/2022,68252327.0,Lukas,The only disadvantage of this place is the very loud Main Street
26305,54005280.0,8.33179e+17,2/23/2023,121036571.0,Kerizma,"Very dirty Hair everywhere, unclean towels, the microwave was gross and unclean, pots & pan not cleaned"
26306,53509990.0,5.91734e+17,3/27/2022,222416450.0,Dennis, Evan&Anetta reply very fast and we cannot find anything to complain at all
26307,54005556.0,5.86043e+17,3/19/2022,38312521.0,Timur," The kitchen is not suited for cooking though, as there is no trash can except the tiny one in the bathroom and no cutting board is available Also it is generally very minimally equipped"
26308,53509990.0,6.2729e+17,5/15/2022,27991698.0,Myles,"In honesty, I rarely give a poor review but I feel so disappointed with the money spent I feel I need to explain why The flat is small and cramped Then there is a club that has very loud music thumping out until 3am on a Saturday night so do not expect to sleep well here Although the view of the Parthenon is beautiful, the outside spacious terrace is virtually unusable as there are no soft furnishings such as chair seat cushions or loungers The furniture is basic and the coffee table looked like it would fall apart if we put more than a cup on it The  worst thing was there was no kettle There were also no tea or coffee or milk We could not even store our bags for a few hours, and the cleaner was at the door at 10 There was no warmth or welcome and very much a business"
26309,53509990.0,6.30155e+17,5/19/2022,154968271.0,Maria," The location was not our favorite, somewhat shabbier side of town"
26310,53805791.0,5.65011e+17,2/18/2022,84167917.0,Kingsley,"However, the fly in the ointment is that the Internet speed is really slow, not enough for four people to use at the same time, when we have more than four devices that need to use the Internet, the average Internet speed is less than 1M/s, I hope to improve in the future"
26311,53509990.0,6.46177e+17,6/10/2022,337769103.0,Mike," Living room/ kitchen furniture (couch, chairs,  table, rugs, couch throw) can really use an update, not very comfortable, sturdy, or eye pleasing"
26312,53509990.0,6.75803e+17,7/21/2022,306033203.0,Brittany,Not too familiar with Athens but didn’t feel very safe in this area
26313,53805791.0,6.46124e+17,6/10/2022,222401578.0,Daniella," The only thing that I didn’t like was that it was hard to find parking each night, but don’t let that stop you from visiting because there’s is a 24 hr parking garage a few mins away"
26314,54005556.0,6.18628e+17,5/3/2022,165079664.0,Dajana, Amelie always responded very quickly to our messages! Unfortunately it‘s very noisy at night - we didn‘t sleep well
